Area_Name,State,Cardiovascular Deaths Per 100K,,
San Miguel,CO,93.8,  ,
Kusilvak,AK,98.4,  ,
Oglala Lakota,SD,119,  ,
Pitkin,CO,124.5,  ,
Aleutians East,AK,125.2,  ,
Summit,CO,161.6,  ,
Eagle,CO,164.6,  ,
Aleutians West,AK,172.2,  ,
Teton,WY,203.3,  ,
Lake,CO,205.8,  ,
Ouray,CO,208.4,  ,
Skagway,AK,210.5,  ,
Routt,CO,218,  ,
Grand,CO,221.4,  ,
Manassas Park,VA,225.3,  ,
Blaine,ID,231,  ,
Douglas,CO,233.1,  ,
Yabucoa,PR,234.5,  ,
Valley,ID,239.2,  ,
San Juan,WA,239.9,  ,
Marin,CA,241.6,  ,
Vega Alta,PR,242.2,  ,
Fairfax County,VA,245.9,  ,
Hatillo,PR,246.2,  ,
Barranquitas,PR,250.8,  ,
Ceiba,PR,251.6,  ,
Gunnison,CO,253.7,  ,
Collier,FL,254.3,  ,
Las Piedras,PR,255.2,  ,
Gurabo,PR,255.4,  ,
Falls Church,VA,256.6,  ,
Camuy,PR,256.7,  ,
Beaufort,SC,256.9,  ,
Quebradillas,PR,257,  ,
San Lorenzo,PR,257.5,  ,
Juncos,PR,258.1,  ,
Corozal,PR,258.6,  ,
Toa Alta,PR,259,  ,
Carolina,PR,261.6,  ,
Luquillo,PR,261.8,  ,
Cayey,PR,262.2,  ,
Arlington,VA,262.6,  ,
Canóvanas,PR,262.7,  ,
Loudoun,VA,263,  ,
Aguas Buenas,PR,263.4,  ,
Trujillo Alto,PR,263.9,  ,
Guaynabo,PR,264.7,  ,
Loiza,PR,265.7,  ,
Naranjito,PR,266,  ,
Cidra,PR,266,  ,
Rio Grande,PR,267.8,  ,
Humacao,PR,269.2,  ,
Park,CO,269.9,  ,
Montgomery,MD,271.8,  ,
Naguabo,PR,271.8,  ,
Dakota,MN,273,  ,
Arecibo,PR,273.3,  ,
Rincón,PR,273.6,  ,
Broomfield,CO,273.8,  ,
Vieques,PR,273.9,  ,
Morovis,PR,274,  ,
Costilla,CO,274.5,  ,
Anoka,MN,275.3,  ,
Caguas,PR,276.6,  ,
Mayaguez,PR,277.1,  ,
Santa Fe,NM,277.1,  ,
Utuado,PR,277.3,  ,
Carver,MN,278.3,  ,
Washington,MN,278.3,  ,
San Juan,PR,278.8,  ,
Taos,NM,279.1,  ,
Stearns,MN,279.3,  ,
Sarasota,FL,281.2,  ,
Maricao,PR,281.9,  ,
Orange,NC,282.7,  ,
Mono,CA,283.2,  ,
Boulder,CO,283.3,  ,
Mora,NM,283.7,  ,
Toa Baja,PR,284.3,  ,
Albemarle,VA,284.9,  ,
Sioux,IA,285.2,  ,
Patillas,PR,285.4,  ,
Añasco,PR,286.1,  ,
Cataño,PR,286.9,  ,
Ciales,PR,287.2,  ,
San Juan,CO,287.3,  ,
Chatham,NC,287.4,  ,
Guayama,PR,287.4,  ,
Dorado,PR,287.8,  ,
Aguada,PR,288,  ,
Florida,PR,288.3,  ,
Hormigueros,PR,288.3,  ,
Lincoln,SD,288.5,  ,
Cherry,NE,288.9,  ,
Comerio,PR,289.1,  ,
Isabela,PR,289.1,  ,
Barceloneta,PR,289.3,  ,
Hennepin,MN,289.6,  ,
Clear Creek,CO,290.4,  ,
Scott,MN,290.6,  ,
Salinas,PR,291.1,  ,
Prince William,VA,293.1,  ,
Bayamón,PR,293.2,  ,
Presidio,TX,293.8,  ,
Washington,UT,294.5,  ,
Manati,PR,295.7,  ,
Cabo Rojo,PR,296.6,  ,
Sherburne,MN,296.7,  ,
Monterey,CA,297,  ,
Alexandria,VA,297,  ,
Garfield,CO,297.6,  ,
Morrison,MN,298.5,  ,
San Sebastian,PR,298.5,  ,
Kandiyohi,MN,298.6,  ,
Los Alamos,NM,298.7,  ,
Moca,PR,298.8,  ,
Hubbard,MN,298.9,  ,
San Francisco,CA,299.3,  ,
Santa Clara,CA,299.5,  ,
Lee,FL,299.7,  ,
San Mateo,CA,299.9,  ,
San Germán,PR,300.3,  ,
Custer,ID,300.9,  ,
Orocovis,PR,301.1,  ,
Jackson,CO,301.6,  ,
Middlesex,MA,301.8,  ,
Arroyo,PR,301.8,  ,
Fajardo,PR,302,  ,
Santa Cruz,CA,302.2,  ,
Kalawao,HI,302.8,  ,
St. Johns,FL,304.3,  ,
Howard,MD,305,  ,
Vega Baja,PR,305.3,  ,
Wright,MN,306.1,  ,
Suffolk,MA,306.3,  ,
Chelan,WA,308.5,  ,
Benton,OR,309,  ,
Todd,MN,309.5,  ,
Larimer,CO,309.6,  ,
Maui,HI,310.2,  ,
Kearny,KS,310.3,  ,
Williamsburg,VA,310.4,  ,
Charlotte,FL,311.2,  ,
King,WA,311.3,  ,
Sibley,MN,311.5,  ,
Chaffee,CO,311.9,  ,
York,VA,312.2,  ,
Aguadilla,PR,312.6,  ,
Scott,KS,312.7,  ,
Madison,MT,312.7,  ,
Cook,MN,312.8,  ,
Norfolk,MA,313.1,  ,
Cass,ND,313.4,  ,
Dane,WI,313.6,  ,
Washington,OR,313.9,  ,
Olmsted,MN,314.2,  ,
Arapahoe,CO,314.2,  ,
Lane,KS,314.9,  ,
Lemhi,ID,314.9,  ,
Crow Wing,MN,315.2,  ,
Pinal,AZ,315.5,  ,
San Juan,UT,315.5,  ,
Gilpin,CO,315.7,  ,
Culebra,PR,316.2,  ,
Maunabo,PR,316.2,  ,
Brown,MN,316.4,  ,
Lake,IL,316.6,  ,
Finney,KS,316.8,  ,
Rio Blanco,CO,317,  ,
Kauai,HI,317,  ,
Martin,FL,317.4,  ,
Plymouth,IA,318,  ,
Glades,FL,318.5,  ,
Waukesha,WI,318.8,  ,
Dolores,CO,318.9,  ,
St. Croix,WI,319.2,  ,
Teller,CO,319.4,  ,
Rappahannock,VA,319.5,  ,
Thomas,NE,319.6,  ,
Travis,TX,319.7,  ,
Summit,UT,319.8,  ,
Camas,ID,319.8,  ,
Union,SD,320,  ,
Hinsdale,CO,320.2,  ,
Stanley,SD,320.5,  ,
Chittenden,VT,321.7,  ,
Colfax,NM,322.3,  ,
Dukes,MA,323.1,  ,
Adams,ID,323.3,  ,
Aibonito,PR,323.7,  ,
Cass,MN,323.8,  ,
Kendall,IL,324,  ,
Hunterdon,NJ,324.1,  ,
Leelanau,MI,324.2,  ,
Mills,IA,324.8,  ,
Ward,ND,324.9,  ,
Fayette,GA,325.4,  ,
Collin,TX,325.4,  ,
Jeff Davis,TX,325.9,  ,
Manatee,FL,326.2,  ,
Lyon,MN,326.3,  ,
Indian River,FL,326.4,  ,
Custer,CO,326.5,  ,
Las Marias,PR,326.5,  ,
Newport,RI,326.6,  ,
Watauga,NC,326.7,  ,
Fort Bend,TX,327.2,  ,
Klickitat,WA,327.4,  ,
Lajas,PR,328,  ,
Williamson,TX,328.5,  ,
Ramsey,MN,328.8,  ,
Contra Costa,CA,328.8,  ,
York,ME,328.9,  ,
Columbia,GA,329.2,  ,
Polk,OR,329.5,  ,
Becker,MN,329.6,  ,
Fairfield,CT,329.7,  ,
Transylvania,NC,330,  ,
Brewster,TX,330,  ,
Bergen,NJ,330.1,  ,
Saguache,CO,330.1,  ,
Denali,AK,330.1,  ,
Nicollet,MN,330.2,  ,
Rio Arriba,NM,330.5,  ,
Palm Beach,FL,330.5,  ,
Matanuska-Susitna,AK,330.8,  ,
New York,NY,330.8,  ,
Coconino,AZ,331.1,  ,
Meeker,MN,331.6,  ,
DeSoto,FL,331.7,  ,
Wabasha,MN,331.8,  ,
Boise,ID,332.1,  ,
Santa Cruz,AZ,332.3,  ,
Carbon,MT,332.4,  ,
Gallatin,MT,332.6,  ,
Rice,MN,332.6,  ,
Idaho,ID,332.6,  ,
Teton,ID,332.6,  ,
Adjuntas,PR,332.6,  ,
Park,MT,332.7,  ,
Durham,NC,333.3,  ,
Haines,AK,333.3,  ,
Alameda,CA,333.4,  ,
Essex,MA,333.9,  ,
Dallas,IA,334.1,  ,
Sioux,NE,334.2,  ,
Douglas,NV,334.4,  ,
Ziebach,SD,334.5,  ,
Champaign,IL,334.9,  ,
Jefferson,WA,335,  ,
James City,VA,335.4,  ,
Denton,TX,335.6,  ,
Elbert,CO,335.8,  ,
Anchorage,AK,335.9,  ,
Story,IA,335.9,  ,
Clay,MN,336.1,  ,
Sumter,FL,336.2,  ,
Whatcom,WA,336.2,  ,
Weld,CO,336.4,  ,
Hettinger,ND,336.5,  ,
Pueblo,CO,336.7,  ,
Clallam,WA,336.9,  ,
Sabana Grande,PR,337,  ,
DuPage,IL,337,  ,
Clackamas,OR,337.7,  ,
Chisago,MN,337.7,  ,
Douglas,MN,337.8,  ,
Le Sueur,MN,338,  ,
Sully,SD,338,  ,
Renville,MN,338.2,  ,
Honolulu,HI,338.3,  ,
Washington,CO,338.5,  ,
El Dorado,CA,338.7,  ,
Grand Isle,VT,338.8,  ,
Somerset,NJ,339,  ,
Wake,NC,339.4,  ,
Campbell,SD,339.5,  ,
Douglas,WA,339.8,  ,
Juneau,AK,339.8,  ,
Kit Carson,CO,340,  ,
Cumberland,ME,340,  ,
Mecklenburg,NC,340.7,  ,
Iron,UT,340.9,  ,
Santa Barbara,CA,341,  ,
Placer,CA,341.2,  ,
Sweet Grass,MT,341.3,  ,
Sarpy,NE,341.6,  ,
Valdez-Cordova,AK,341.6,  ,
Jackson,OR,341.7,  ,
Deschutes,OR,342,  ,
Steele,ND,342,  ,
Moffat,CO,342,  ,
Chase,NE,342.1,  ,
Oliver,ND,342.2,  ,
McLean,ND,342.5,  ,
Burleigh,ND,343.2,  ,
Gwinnett,GA,343.5,  ,
La Crosse,WI,343.5,  ,
Forsyth,GA,343.8,  ,
Yuma,AZ,344.2,  ,
Grand,UT,344.4,  ,
Sublette,WY,344.5,  ,
Nantucket,MA,344.6,  ,
Pope,MN,344.6,  ,
