Feature,Values
Total_age18to64,34
Urban_Influence_Code_2013,33
m50,32
Employed_2018,31
deaths,30
cases,29
Total_age65plus,28
Percent_Hispanic,27
Percent_TwoPlusRaces,26
Percent_NativeHawaiianPI,25
Percent_Asian,24
Percent_NativeAmerican,23
Total_age0to17,22
Mar Temp AVG / F,21
Percent_Black,20
Percent_White,19
Cardiovascular Deaths Per 100K,18
% Adults with Obesity,17
% Severe Housing Problems,16
POP_ESTIMATE_2018,15
Average Daily PM2.5,14
m50_index,13
Premature Death,12
Med_HH_Income_Percent_of_State_Total_2018,11
Density per square mile of land area - Population,10
Median_Household_Income_2018,9
Percent of adults with less than a high school diploma 2014-18,8
Active Physicians per 100000 Population 2018 (AAMC),7
Density per square mile of land area - Housing units,6
Apr Temp AVG / F,5
All Specialties (AAMC),4
ICU Beds,3
transit_scores - population weighted averages aggregated from town/city level to county,2
Unemployment_rate_2018,1
Day_of_Week,0
