Date,m50,m50_index,POP_ESTIMATE_2018,Urban_Influence_Code_2013,Mar Temp AVG / F,Apr Temp AVG / F,Total_age0to17,Total_age18to64,Total_age65plus,Percent of adults with less than a high school diploma 2014-18,Employed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Active Physicians per 100000 Population 2018 (AAMC),All Specialties (AAMC),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,Premature Death,% Adults with Obesity,Average Daily PM2.5,% Severe Housing Problems,Cardiovascular Deaths Per 100K,stay at home_bool,>50 gatherings_bool,>500 gatherings_bool,public_schools_bool,dine_in_bool,Percent_White,Percent_Black,Percent_NativeAmerican,Percent_Asian,Percent_NativeHawaiianPI,Percent_TwoPlusRaces,Percent_Hispanic,Age_0_14,Age_15_24,Age_25_44,Age_45_64,Age_65plus,C_Female,C_Male,Subgroup_Case_Rate_Black,Subgroup_Case_Rate_White,Subgroup_Case_Rate_Hispanic,Subgroup_Case_Rate_AsianNA_NH_PI_TwoPlus,T_negative,T_positive,T_total,cases,deaths,Day_of_Week
2020-04-13,8.413,48.0,24880.0,6.0,60.6,66.4,4955.0,15562.0,4363.0,18.8,9541.0,3.8,39225.0,70.8,42.7,18.5,265.2,65.97964583,0.0,0.0,10030.0,38.0,10.0,12.0,641.2,True,True,True,True,True,80.44212218649518,14.859324758842444,1.362540192926045,0.5948553054662379,0.3416398713826367,2.39951768488746,3.701768488745981,2.0,3.0,38.0,40.0,28.0,1.0,3.0,0.0,0.0199860097931448,0.0,0.0,103.0,4.0,112.0,4.0,0.0,0
2020-04-13,8.631,45.0,19477.0,6.0,59.7,65.9,3938.0,11668.0,3871.0,22.6,6706.0,4.0,38040.0,68.6,41.6,18.0,265.2,51.65134895,0.0,0.0,9908.0,33.0,10.1,14.0,564.9,True,True,True,True,True,88.9921445807876,6.74641885300611,1.042254967397443,0.6674539200082148,0.17969913230990398,2.3720285464907325,2.967602813574986,7.0,8.0,25.0,32.0,19.0,0.0,2.0,0.0,0.011538683436219927,0.0,0.0,85.0,2.0,92.0,2.0,0.0,0
2020-04-13,0.715,8.0,1436888.0,1.0,68.0,73.6,323986.0,907587.0,205315.0,11.6,710804.0,3.4,58361.0,105.3,1204.9,525.5,265.2,3810.5048770000003,432.0,3303892778.0,6872.0,24.0,7.1,19.0,403.6,True,True,True,True,True,74.2805980702741,17.84418827354672,0.5249539282115238,4.429433609300099,0.13076871683805558,2.7900574018295092,29.23776940165135,617.0,1145.0,4421.0,3936.0,2271.0,382.0,386.0,0.04758171770000897,0.035040741889333094,0.051652646662572535,0.14669753795577864,11577.0,790.0,12398.0,813.0,16.0,0
2020-04-13,2.122,30.0,105424.0,2.0,68.0,74.0,17970.0,50232.0,37222.0,15.3,34716.0,4.8,39994.0,72.1,97.2,54.5,265.2,279.5754896,38.0,276304145.0,9562.0,31.0,7.5,15.0,395,True,True,True,True,True,85.44069661557141,10.494764000607072,0.663036879647898,1.5594172105023525,0.09580361208074063,1.7462816815905298,20.810251935043254,13.0,29.0,136.0,152.0,154.0,28.0,32.0,0.1265365148228489,0.031085206772134333,0.10027804366652991,0.3500583430571762,422.0,61.0,486.0,61.0,5.0,0
2020-04-13,1.359,15.0,190865.0,1.0,66.2,71.6,34957.0,103496.0,52412.0,12.6,67280.0,4.5,45884.0,82.8,365.6,178.8,265.2,506.1577613,44.0,1900878046.0,8734.0,32.0,8.3,15.0,437.1,True,True,True,True,True,89.80326408718204,5.978571241453383,0.4862075288816703,1.4444764624210829,0.08697246745081602,2.200508212611008,14.182275430277947,33.0,81.0,323.0,383.0,276.0,33.0,34.0,0.026290421523091752,0.022753394047945484,0.029554102478850347,0.037262451869333,1025.0,71.0,1097.0,71.0,2.0,0
2020-04-13,2.6839999999999997,31.0,41556.0,3.0,70.5,74.7,10964.0,24880.0,5712.0,34.3,14652.0,6.1,44391.0,80.1,34.0,12.6,265.2,110.20298079999999,3.0,0.0,8548.0,35.0,7.3,21.0,455.9,True,True,True,True,True,83.62931947251901,12.056020791221485,2.033400712291847,0.9769948984502839,0.19973048416594474,1.1045336413514293,54.30262777938204,10.0,12.0,80.0,63.0,47.0,10.0,11.0,0.07984031936127745,0.025897044859436592,0.022157227687671716,0.0,191.0,21.0,212.0,22.0,0.0,0
2020-04-13,5.5520000000000005,46.0,27245.0,3.0,67.9,74.0,7141.0,15572.0,4532.0,24.2,8322.0,5.3,39169.0,70.7,43.5,15.2,265.2,72.25142487,0.0,0.0,6848.0,39.0,7.6,18.0,396.6,True,True,True,True,True,88.43824554964213,7.469260414755001,1.1745274362268305,1.1304826573683247,0.11011194714626536,1.6773719948614425,43.97504129198018,3.0,9.0,25.0,24.0,16.0,1.0,0.0,0.0,0.004150238638721726,0.0,0.0,74.0,3.0,77.0,3.0,0.0,0
2020-04-13,9.974,43.0,14310.0,6.0,60.0,66.8,2707.0,9028.0,2575.0,23.9,4114.0,4.2,36299.0,65.5,28.8,11.2,265.2,37.94890401,0.0,0.0,9931.0,41.0,9.2,13.0,520.2,True,True,True,True,True,62.94898672257163,32.84416491963662,1.055206149545772,0.8176100628930818,0.02795248078266946,2.3060796645702304,9.797344514325648,2.0,11.0,21.0,22.0,19.0,2.0,0.0,0.0,0.022202486678507993,0.0,0.0,72.0,2.0,75.0,2.0,0.0,0
2020-04-13,0.61,7.0,16164.0,2.0,62.4,67.2,2500.0,10177.0,3487.0,15.1,5852.0,4.4,45426.0,81.9,28.1,16.2,265.2,42.86555447,0.0,0.0,9692.0,33.0,9.1,16.0,483.3,True,True,True,True,True,79.81935164563227,17.04404850284583,0.661964860183123,0.4763672358327147,0.024746349913387776,1.973521405592675,4.621380846325167,6.0,4.0,26.0,32.0,23.0,1.0,0.0,0.0,0.0077507363199503946,0.0,0.0,90.0,1.0,91.0,1.0,0.0,0
2020-04-13,2.1919999999999997,17.0,13724.0,4.0,69.3,74.3,2080.0,7900.0,3744.0,24.4,4998.0,4.0,38680.0,69.8,16.0,8.7,265.2,36.39488181,0.0,0.0,9578.0,36.0,7.1,16.0,318.5,True,True,True,True,True,78.83270183619936,13.829787234042554,5.187991839113961,0.7067910230253571,0.10201107548819587,1.3407169921305742,21.145438647624598,1.0,1.0,10.0,10.0,10.0,2.0,3.0,0.10537407797681769,0.018485996857380532,0.0,0.0,27.0,5.0,32.0,5.0,1.0,0
2020-04-13,5.232,30.0,18256.0,2.0,62.6,68.3,3703.0,10812.0,3741.0,14.1,6611.0,3.8,42186.0,76.1,48.4,20.9,265.2,48.41336071,0.0,0.0,8968.0,38.0,8.2,13.0,389.6,True,True,True,True,True,91.20289219982472,5.6036371603856265,0.6847063978965819,0.5806310254163015,0.12050832602979841,1.8076248904469763,6.102103418054338,5.0,16.0,41.0,35.0,31.0,1.0,3.0,0.0,0.018018018018018018,0.0,0.0,124.0,4.0,128.0,4.0,0.0,0
2020-04-13,3.551,22.0,45894.0,2.0,60.6,67.0,10097.0,27600.0,8197.0,20.7,17654.0,4.6,42259.0,76.2,89.8,37.8,265.2,121.7069882,0.0,90044263.0,9926.0,43.0,10.6,15.0,430.8,True,True,True,True,True,41.65032466117575,55.76981740532532,0.583954329541988,0.7299429119274851,0.1350939120582211,1.1308667799712382,10.50899899769033,13.0,21.0,72.0,75.0,32.0,24.0,12.0,0.027349091619456926,0.01569448077426105,0.0,0.0,178.0,36.0,214.0,35.0,0.0,0
2020-04-13,0.07400000000000001,1.0,11736.0,6.0,62.2,67.7,1888.0,7034.0,2814.0,19.7,4673.0,3.5,40297.0,72.7,21.6,16.2,265.2,31.12287474,0.0,0.0,8765.0,36.0,9.1,16.0,464.5,True,True,True,True,True,84.0576005453306,12.397750511247443,0.9969325153374233,0.48568507157464214,0.07668711656441718,1.985344239945467,5.598159509202454,3.0,6.0,8.0,21.0,17.0,1.0,0.0,0.0,0.01013684744044602,0.0,0.0,53.0,2.0,55.0,2.0,0.0,0
2020-04-13,0.93,11.0,112067.0,2.0,65.6,71.5,18884.0,58755.0,34428.0,8.0,45173.0,4.0,58975.0,106.4,197.1,100.1,265.2,297.1921612,18.0,0.0,7550.0,26.0,7.5,17.0,390.5,True,True,True,True,True,83.94978004229613,10.739111424415752,0.39976085734426725,2.603799512791455,0.0910169809132037,2.2165311822391964,10.542800289112762,15.0,33.0,187.0,236.0,234.0,22.0,20.0,0.033236393851267136,0.03188775510204082,0.0761743546339399,0.08400537634408602,661.0,44.0,706.0,45.0,2.0,0
2020-04-13,2.455,34.0,157413.0,2.0,67.9,73.0,25219.0,80175.0,52019.0,11.3,62318.0,4.3,58228.0,105.0,274.5,151.8,265.2,417.4458999,40.0,0.0,6883.0,26.0,7.0,16.0,326.4,True,True,True,True,True,86.91277086390578,9.482063107875462,0.4370668242140103,1.5780145223075601,0.050186452198992454,1.539898229498199,12.681925889221349,31.0,67.0,220.0,381.0,430.0,27.0,40.0,0.026798874447273215,0.03654650176885069,0.020037068576867205,0.21145374449339205,1015.0,75.0,1130.0,77.0,1.0,0
2020-04-13,2.6439999999999997,34.0,315534.0,2.0,59.7,65.9,65784.0,196602.0,53148.0,9.2,140151.0,3.5,50644.0,91.4,453.4,208.2,265.2,836.7693556,120.0,305814779.0,9783.0,29.0,9.9,13.0,476.2,True,True,True,True,True,68.91998960492371,23.207958571817937,0.8994276369582993,3.4075567133811253,0.1796953735572078,3.3853720993617173,5.819658103405655,295.0,428.0,1239.0,1114.0,613.0,107.0,103.0,0.06964453973152712,0.03540783386828286,0.010891466535969068,0.024155561818108618,3450.0,235.0,3697.0,241.0,3.0,0
2020-04-13,3.762,34.0,16700.0,7.0,62.7,68.4,3035.0,9716.0,3949.0,20.7,5529.0,4.2,37148.0,67.0,23.3,13.2,265.2,44.28698093,0.0,0.0,10796.0,34.0,8.1,14.0,460.1,True,True,True,True,True,87.39520958083831,9.832335329341317,0.5808383233532933,0.41317365269461076,0.017964071856287425,1.7604790419161676,4.017964071856287,7.0,10.0,37.0,28.0,32.0,1.0,1.0,0.12180267965895249,0.0,0.0,0.0,112.0,2.0,115.0,2.0,0.0,0
2020-04-13,4.111000000000001,51.0,70503.0,3.0,61.2,67.4,15312.0,41877.0,13314.0,13.3,28434.0,3.7,46195.0,83.3,84.7,35.9,265.2,186.967965,27.0,0.0,10346.0,36.0,8.8,16.0,465.9,True,True,True,True,True,77.79952626129385,18.457370608342906,0.5786987787753712,1.0552742436492064,0.08510276158461343,2.024027346354056,6.3642681871693405,40.0,33.0,129.0,151.0,91.0,14.0,13.0,0.030738492276953813,0.032816174727899224,0.08914642299977714,0.037893141341417205,413.0,27.0,447.0,27.0,0.0,0
2020-04-13,1.3230000000000002,17.0,378488.0,2.0,71.4,75.2,64794.0,191759.0,121935.0,13.6,171255.0,3.4,70649.0,127.4,160.9,98.7,265.2,1003.718014,73.0,2242617896.0,5205.0,21.0,7.7,20.0,254.3,True,True,True,True,True,89.29186658493796,7.4115956120141195,0.478218596098159,1.5540783327344592,0.09722897423432182,1.1670118999809769,28.202479338842974,80.0,221.0,938.0,1137.0,1181.0,155.0,160.0,0.035648082133181234,0.06332129045239215,0.07869368483179225,0.19235393123346958,3169.0,375.0,3559.0,376.0,5.0,0
