AgeRange,Age_0_4,Age_0_9,Age_10_19,Age_15_24,Age_20_29,Age_25_34,Age_30_39,Age_35_44,Age_40_49,Age_45_54,Age_50_59,Age_55_64,Age_5_14,Age_60_69,Age_65_74,Age_70_79,Age_75_84,Age_80plus,Age_85plus,Age_Unkn,Age_Unknown,AverageAge,COUNTYN,C_AgeAvrg,C_AgeMedian,C_AgeRange,C_Age_0_4,C_Age_0_9,C_Age_10_19,C_Age_15_24,C_Age_20_29,C_Age_25_34,C_Age_30_39,C_Age_35_44,C_Age_40_49,C_Age_45_54,C_Age_50_59,C_Age_55_64,C_Age_5_14,C_Age_60_69,C_Age_65_74,C_Age_70_79,C_Age_75_84,C_Age_80plus,C_Age_85plus,C_Age_Unkn,C_AllResTypes,C_CaseDate,C_EDYes_NonRes,C_EDYes_Res,C_ED_NO,C_ED_NoData,C_ED_Yes,C_FLRes,C_FLResDeaths,C_FLResOut,C_Female,C_HispanicNO,C_HispanicUnk,C_HispanicYES,C_HospYes_NonRes,C_HospYes_Res,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,C_Male,C_Men,C_NonResDeaths,C_NotFLRes,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_RaceWhite,C_SexUnkn,C_Women,CasesAll,ContactNo,ContactUnknown,ContactYes,Counts,County,DEPCODE,Deaths,ED_No,ED_Unknown,ED_Yes,EverMon,FL.resident,FLResDeaths,GenderFemale,GenderMale,GenderUnknown,HospitalizedNo,HospitalizedUnknown,HospitalizedYes,LabResultsYes,MonNow,Non.FL.resident,Not.diagnosed.isolated.in.FL,OBJECTID,PUIAgeAvrg,PUIAgeMedian,PUIAgeRange,PUIContNo,PUIContUnkn,PUIContYes,PUIED_NO,PUIED_NoData,PUIED_Yes,PUIFLRes,PUIFLResOut,PUIFemale,PUIHosp_No,PUIHosp_Nodata,PUIHosp_Yes,PUILab_Yes,PUIMale,PUINotFLRes,PUISexUnkn,PUITravelNo,PUITravelUnkn,PUITravelYes,PUIsTotal,State,TInconc,TNegative,TPending,TPositive,T_LabDOH_NonRes,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabPrivate_Res,T_NegNotFLRes,T_NegRes,T_PercentPositive,T_Total_Res,T_negative,T_positive,T_total,TravelNo,TravelUnknown,TravelYes,file,sheet,date_merge,country_code,admin_level,admin1,admin2,fips,samples,m50,m50_index
,128.0,,,755.0,,1238.0,,952.0,,875.0,,1030.0,91.0,,964.0,,556.0,,261.0,51.0,,,1.0,,49.0,2 to 94,1.0,,,38.0,,50.0,,31.0,,39.0,,43.0,0.0,,40.0,,16.0,,8.0,1.0,256.0,,4.0,61.0,,,,256.0,5.0,0.0,153.0,186.0,52.0,18.0,2.0,44.0,,,,103.0,106.0,0.0,11.0,83.0,20.0,46.0,107.0,0.0,161.0,267.0,,,,,Alachua,1.0,5.0,,,,77.0,,,,,,,,,,58.0,,,66.0,,48.0,0 to 118,134.0,6681.0,86.0,,,,6764.0,0.0,3969.0,,,,6901.0,2713.0,137.0,219.0,260.0,6596.0,45.0,6901.0,FL,7.0,6627,0,267,6.0,32.0,5.0,224.0,126.0,6501.0,,6757.0,6627.0,267.0,6901.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Alachua County,12001,8228,4.512,58
,12.0,,,38.0,,63.0,,45.0,,69.0,,59.0,9.0,,39.0,,29.0,,20.0,0.0,,,3.0,,70.0,24 to 97,0.0,,,1.0,,1.0,,2.0,,0.0,,4.0,0.0,,4.0,,5.0,,3.0,0.0,20.0,,0.0,5.0,,,,20.0,3.0,0.0,13.0,19.0,1.0,0.0,0.0,8.0,,,,7.0,7.0,0.0,0.0,2.0,1.0,0.0,17.0,0.0,13.0,20.0,,,,,Baker,2.0,3.0,,,,3.0,,,,,,,,,,2.0,,,17.0,,48.0,0 to 99,17.0,348.0,18.0,,,,379.0,0.0,227.0,,,,383.0,135.0,4.0,21.0,53.0,327.0,3.0,383.0,FL,0.0,363,0,20,0.0,15.0,0.0,5.0,4.0,359.0,,379.0,363.0,20.0,383.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Baker County,12003,1123,8.219,58
,15.0,,,107.0,,195.0,,229.0,,295.0,,289.0,18.0,,188.0,,103.0,,61.0,48.0,,,5.0,,50.0,14 to 93,0.0,,,3.0,,11.0,,12.0,,18.0,,13.0,1.0,,9.0,,3.0,,1.0,1.0,71.0,,1.0,21.0,,,,71.0,3.0,0.0,27.0,48.0,8.0,15.0,1.0,9.0,,,,44.0,45.0,0.0,1.0,8.0,4.0,5.0,54.0,0.0,27.0,72.0,,,,,Bay,3.0,3.0,,,,32.0,,,,,,,,,,27.0,,,15.0,,51.0,0 to 101,37.0,1474.0,37.0,,,,1545.0,0.0,836.0,,,,1548.0,660.0,3.0,52.0,77.0,1442.0,29.0,1548.0,FL,2.0,1474,0,72,0.0,15.0,1.0,56.0,2.0,1472.0,,1543.0,1474.0,72.0,1548.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Bay County,12005,7699,5.601,70
,8.0,,,75.0,,94.0,,92.0,,91.0,,129.0,9.0,,90.0,,93.0,,80.0,4.0,,,7.0,,74.0,8 to 107,0.0,,,3.0,,2.0,,5.0,,3.0,,3.0,2.0,,6.0,,12.0,,10.0,0.0,46.0,,0.0,4.0,,,,46.0,2.0,0.0,38.0,46.0,0.0,0.0,0.0,10.0,,,,8.0,8.0,0.0,0.0,3.0,0.0,0.0,43.0,0.0,38.0,46.0,,,,,Bradford,4.0,2.0,,,,112.0,,,,,,,,,,80.0,,,40.0,,56.0,0 to 118,27.0,697.0,41.0,,,,765.0,0.0,494.0,,,,763.0,260.0,0.0,11.0,130.0,634.0,1.0,765.0,FL,0.0,717,2,46,0.0,33.0,0.0,13.0,0.0,717.0,,763.0,717.0,46.0,765.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Bradford County,12007,789,8.943999999999999,78
,124.0,,,463.0,,936.0,,1009.0,,1230.0,,1912.0,154.0,,1595.0,,721.0,,225.0,1.0,,,9.0,,54.0,1 to 98,2.0,,,20.0,,34.0,,40.0,,44.0,,62.0,5.0,,34.0,,27.0,,17.0,0.0,276.0,,2.0,77.0,,,,276.0,8.0,0.0,141.0,219.0,17.0,40.0,2.0,47.0,,,,135.0,137.0,0.0,9.0,47.0,13.0,16.0,200.0,0.0,148.0,285.0,,,,,Brevard,5.0,8.0,,,,207.0,,,,,,,,,,156.0,,,42.0,,56.0,0 to 103,111.0,8132.0,127.0,,,,8360.0,0.0,4859.0,,,,8369.0,3434.0,10.0,77.0,269.0,8038.0,63.0,8370.0,FL,2.0,8082,1,285,2.0,33.0,7.0,243.0,1.0,8081.0,,8357.0,8082.0,285.0,8370.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Brevard County,12009,21508,3.1919999999999997,41
,411.0,,,2949.0,,7448.0,,7863.0,,8626.0,,8229.0,562.0,,5409.0,,2877.0,,1520.0,92.0,,,11.0,,50.0,0 to 102,11.0,,,349.0,,783.0,,799.0,,951.0,,928.0,42.0,,585.0,,315.0,,190.0,0.0,4824.0,,53.0,1613.0,,,,4824.0,185.0,0.0,2382.0,2898.0,384.0,1542.0,42.0,953.0,,,,2442.0,2521.0,4.0,129.0,1620.0,460.0,390.0,2354.0,0.0,2432.0,4953.0,,,,,Broward,6.0,185.0,,,,818.0,,,,,,,,,,479.0,,,62.0,,49.0,0 to 119,1275.0,41869.0,2842.0,,,,45050.0,0.0,24459.0,,,,45955.0,19893.0,936.0,1634.0,3487.0,41676.0,823.0,45986.0,FL,30.0,40972,31,4953,20.0,904.0,109.0,3920.0,803.0,40169.0,,44993.0,40972.0,4953.0,45986.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Broward County,12011,48920,1.5119999999999998,19
,1.0,,,11.0,,17.0,,23.0,,13.0,,15.0,2.0,,12.0,,16.0,,3.0,1.0,,,13.0,,52.0,20 to 88,0.0,,,1.0,,1.0,,1.0,,1.0,,1.0,0.0,,1.0,,0.0,,2.0,0.0,8.0,,0.0,6.0,,,,8.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,2.0,,,,2.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,8.0,,,,,Calhoun,7.0,0.0,,,,30.0,,,,,,,,,,3.0,,,5.0,,45.0,0 to 89,3.0,105.0,6.0,,,,114.0,0.0,62.0,,,,114.0,50.0,0.0,2.0,6.0,105.0,3.0,114.0,FL,0.0,106,0,8,0.0,3.0,0.0,5.0,0.0,106.0,,114.0,106.0,8.0,114.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Calhoun County,12013,334,7.772,56
,22.0,,,119.0,,201.0,,232.0,,283.0,,383.0,20.0,,367.0,,296.0,,203.0,2.0,,,15.0,,68.0,3 to 100,1.0,,,7.0,,20.0,,10.0,,25.0,,40.0,1.0,,44.0,,39.0,,49.0,0.0,235.0,,0.0,29.0,,,,235.0,19.0,0.0,141.0,153.0,75.0,7.0,0.0,39.0,,,,94.0,95.0,0.0,1.0,23.0,5.0,57.0,150.0,0.0,141.0,236.0,,,,,Charlotte,8.0,19.0,,,,80.0,,,,,,,,,,61.0,,,56.0,,59.0,0 to 100,77.0,1946.0,105.0,,,,2112.0,0.0,1262.0,,,,2124.0,841.0,16.0,25.0,146.0,1971.0,11.0,2128.0,FL,1.0,1887,4,236,1.0,88.0,0.0,147.0,14.0,1873.0,,2108.0,1887.0,236.0,2128.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Charlotte County,12015,6582,3.2039999999999997,44
,22.0,,,97.0,,190.0,,188.0,,229.0,,288.0,32.0,,296.0,,187.0,,73.0,4.0,,,17.0,,58.0,0 to 93,2.0,,,6.0,,9.0,,6.0,,14.0,,25.0,4.0,,15.0,,12.0,,6.0,0.0,99.0,,0.0,27.0,,,,99.0,11.0,0.0,49.0,66.0,22.0,11.0,0.0,25.0,,,,50.0,50.0,0.0,0.0,1.0,9.0,23.0,66.0,0.0,49.0,99.0,,,,,Citrus,9.0,11.0,,,,329.0,,,,,,,,,,45.0,,,32.0,,56.0,0 to 98,40.0,1436.0,130.0,,,,1601.0,0.0,869.0,,,,1605.0,566.0,5.0,171.0,167.0,1415.0,24.0,1606.0,FL,2.0,1504,1,99,0.0,56.0,0.0,43.0,4.0,1500.0,,1599.0,1504.0,99.0,1606.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Citrus County,12017,5865,4.628,51
,61.0,,,297.0,,484.0,,621.0,,694.0,,629.0,85.0,,483.0,,286.0,,112.0,9.0,,,19.0,,59.0,6 to 95,0.0,,,16.0,,22.0,,35.0,,43.0,,47.0,1.0,,53.0,,36.0,,20.0,0.0,271.0,,0.0,81.0,,,,271.0,15.0,0.0,163.0,197.0,53.0,21.0,0.0,63.0,,,,108.0,109.0,0.0,2.0,52.0,16.0,51.0,152.0,0.0,164.0,273.0,,,,,Clay,10.0,15.0,,,,162.0,,,,,,,,,,134.0,,,22.0,,49.0,0 to 99,70.0,3524.0,167.0,,,,3755.0,0.0,2167.0,,,,3761.0,1475.0,6.0,119.0,293.0,3427.0,41.0,3761.0,FL,1.0,3487,0,273,0.0,30.0,2.0,241.0,4.0,3483.0,,3754.0,3487.0,273.0,3761.0,,,,HistoricalData_April2020,04_30_2020,2020-04-30,US,2,Florida,Clay County,12019,15319,5.1339999999999995,46
